epoch,loss,PA,mPA,mIOU
1,1.7477182800119573,0.17313939874822443,0.1762890490056386,0.13285841799899406
2,1.6585331938483499,0.1354734247381037,0.12778597512640938,0.09421674005517905
3,1.608084190975536,0.17865389043634589,0.2044196752950401,0.14515123064748794
4,1.5619328997351907,0.2120607549493963,0.21328653366138248,0.17076450641946972
5,1.5176134759729558,0.2704280506480824,0.3195670003664087,0.22959388230546293
6,1.453050678426569,0.43209717490456323,0.4311044408347119,0.3428771157368002
7,1.4072685891931707,0.4614380923184482,0.4655625790526921,0.35989663864231924
8,1.300274675542658,0.5223799618807706,0.49605387821793556,0.3896048135674474
9,1.292037313634699,0.4845033125443892,0.44688755239952693,0.35283120116218925
10,1.2886599519036033,0.4611717570911754,0.461857320740819,0.33432036854157393
11,1.2425704435868696,0.4912844571200284,0.4568186845803707,0.35599167971440693
12,1.283244013786316,0.46049759604714136,0.44629402712664823,0.34461667252154177
13,1.1652224280617454,0.5389052304354581,0.49949258261106233,0.3900415959598666
14,1.065185622735457,0.5819504477761008,0.5596088246357712,0.44367386390116403
15,1.1282511407678777,0.539415879683061,0.5141651773486625,0.4229074018499391
16,1.188062304800207,0.4934066425670277,0.444015544923869,0.36543320323636924
17,1.1371119780973955,0.5276867259632457,0.48876285637644207,0.3979781163348393
18,1.1617701812223955,0.5029028112238104,0.4921491335738789,0.40434086517515505
19,1.0287672823125666,0.5645913210782137,0.5059629342603412,0.43683268121359026
20,1.1065217581662266,0.5199101187966086,0.49861008910970256,0.3980583338389723
21,1.1413546042008833,0.5395204370672052,0.499283455084713,0.4133504422220126
22,1.1564964922991665,0.5179906324906782,0.4983023884917863,0.39201293064450676
23,1.0989034988663413,0.5606392947110262,0.5412532182579691,0.44125172727085143
24,1.0898769606243481,0.5931207483465021,0.5538650302385743,0.46211320348083973
25,1.111696806820956,0.5449024547230114,0.5192013454877518,0.4329546647442674
26,1.0516221089796587,0.5309772491455078,0.5222973671995781,0.43611213590272446
27,1.0863270651210437,0.5427138588645242,0.4699362074871632,0.4125912918455221
28,1.0144812573086133,0.6104790080677379,0.5436866920102726,0.4666210598396984
29,1.082080147483132,0.5842720378528942,0.5408919321542437,0.4594738239591772
30,1.1110514835877852,0.5259732333096591,0.5035620341924104,0.4181877808666534
31,1.0803039886734702,0.5449810028076172,0.4845745167694986,0.42548537584529683
32,1.1108502583070234,0.49877461520108307,0.45668537269177084,0.385503883367743
33,1.1059350479732861,0.535238959572532,0.5217132749438117,0.43152311169119045
34,1.1166429194537075,0.5027046203613281,0.46273623972030525,0.36878861497494986
35,1.0732848264954307,0.5558917305686257,0.5084983679381284,0.41978724719956517
36,1.0392767624421553,0.5956219759854403,0.5626426831480454,0.4811191172974015
37,1.1301277171481738,0.5118732452392578,0.4610485849182375,0.38528426350306044
