epoch,loss,PA,mPA,mIOU
1,1.6933715018359097,0.16475313360040839,0.15713748181149806,0.13319776955268026
2,1.6265979246659712,0.2154939824884588,0.21655254848949632,0.19089146898741918
3,1.6090531999414617,0.16697467457164417,0.1873894136971847,0.1364257224638343
4,1.5308873761783948,0.3701723272150213,0.3403558303094046,0.2736433348195119
5,1.465820388360457,0.42327516729181464,0.3584093034944751,0.30331487219188025
6,1.3866883407939563,0.49158529801802203,0.43869165947597305,0.36287912851813336
7,1.3178890943527222,0.5176254619251598,0.5005502167411826,0.3894950530534102
8,1.2110737778923728,0.5583825544877485,0.4853003861551935,0.38775374681096186
9,1.3395346728238193,0.39493647488680755,0.412749833850698,0.2891419190749399
10,1.1335117383436724,0.5467262268066406,0.5063385175202381,0.4036597670758717
11,1.1774692643772473,0.5312990708784624,0.47370053497566417,0.3983201093294404
12,1.107155973261053,0.5609992634166371,0.5106284392743625,0.4263289642218627
13,1.2998695915395564,0.42714101617986505,0.4222164553674785,0.33570084361020813
14,1.1343204324895686,0.5147065249356356,0.47898033482488245,0.38802671702367
15,1.1311253309249878,0.5651418512517755,0.5438484625721519,0.44990856175056915
16,1.1048336570913142,0.5634614771062677,0.5372591227801009,0.44997242114781827
17,1.1002103740518743,0.562395616011186,0.5020883885127577,0.4022683525796641
18,1.1817839037288318,0.5270075364546343,0.5160251818173989,0.41319504638456483
19,1.0452149618755688,0.5921675942160867,0.5562488528137858,0.47561499002304947
20,1.0430074605074795,0.5794514742764559,0.5264442447911609,0.47238105175678025
21,1.0532205646688289,0.582054311578924,0.5494434767487374,0.4760913011956621
22,1.1277555606581948,0.5275199196555398,0.5351730557158589,0.457530839770863
23,1.1299915693022988,0.5058692585338246,0.4906467194369642,0.4181586436547646
24,1.0711030634966763,0.5679909099232067,0.5288456042074937,0.46005089836597274
25,0.9884720173749056,0.6021300229159269,0.5700183586979454,0.4785479768285189
26,1.0661365714940159,0.5520863966508345,0.5293883903121407,0.44362754067829385
27,1.027324004606767,0.6040985801003196,0.5588768080554225,0.48266382185234263
28,0.9464136362075806,0.6335031336004083,0.5884056966751814,0.4903338618274905
29,0.9846635515039618,0.5845295299183239,0.5430095061575148,0.4632416997231882
30,1.0684160156683489,0.580629522150213,0.5535121310809203,0.468264280855444
31,0.927534358067946,0.6379992745139382,0.6216994972445801,0.535957271020214
32,1.0623071193695068,0.5495870763605292,0.4982814301937734,0.40852386354427755
33,1.0569863536141135,0.5780936154452238,0.5451112261719324,0.47824823449958453
34,1.0759936679493298,0.5790918523615057,0.5397583340209994,0.4647632076733068
35,1.0355000495910645,0.5790117437189276,0.5177292283624411,0.4420654472725635
36,1.0728043805469165,0.5582785172895952,0.5556683484464884,0.45731286611407995
37,1.016891430724751,0.5850951454856179,0.5293662103514923,0.4695420799119926
38,0.9901676394722678,0.5867796811190519,0.5394388024949215,0.4653402119874954
39,1.0167526494372974,0.5808816389604048,0.5426689090037887,0.46038982373746956
40,1.0547555739229375,0.5874108401211825,0.5252660775387828,0.4699378347193653
41,1.0385615283792669,0.5612801638516512,0.514304875142195,0.4151306133254283
42,1.0913828340443699,0.5560946031050249,0.5136973758820783,0.4136482235255905
43,1.0232110131870618,0.5594782395796343,0.5160497470801189,0.42973222613033035
44,1.019827203317122,0.577377666126598,0.532140544869683,0.4627592164853757
45,1.102118264545094,0.552962910045277,0.5648793063380502,0.4733289221555672
46,0.9437816630710255,0.6229983243075284,0.5966629004952583,0.4849677905863659
47,1.0043596571142024,0.5879873795942827,0.5378202470866117,0.46800832282645966
48,1.0792798074808987,0.5365045720880682,0.5130199267269663,0.4348565470929977
49,1.0539975599809126,0.544540752064098,0.5241674129310095,0.4266898789917997
50,1.1716168035160412,0.48958934437144885,0.4747118714096194,0.3873782595487269
51,0.9799163612452421,0.5957334691827948,0.5534430358728225,0.470683346206153
52,1.029971800067208,0.5827120000665839,0.5323857516896996,0.43104541212828323
53,1.0311958898197522,0.5423573580655184,0.5067515741525725,0.4296030589294704
54,1.0585879683494568,0.589241548018022,0.5477689609608867,0.4578227809291672
55,0.9403449188579213,0.6398774927312677,0.6067349840198982,0.5254107847524044
56,0.9871838255362078,0.5842436010187323,0.5271192177156494,0.461368934198452
57,1.036737555807287,0.5474910736083984,0.5260561343959786,0.4473743916552683
58,0.977070542899045,0.5611693642356179,0.48205164532092487,0.42157599617811764
59,1.057742416858673,0.562255165793679,0.5137328944507648,0.4316583931107413
60,0.9468792080879211,0.6549791856245561,0.5916333654895425,0.5132761461321603
61,0.9757091132077303,0.5886400396173651,0.5498348070647229,0.4480703187767755
62,1.0179636153307827,0.5995320406827059,0.5448193896392529,0.45800935940033843
